plate_type,abvreviation,fly_age,type,replicate,yeast,plate_type,unique_abvreviation,experiment_day,egg_count_1,egg_count_2,egg_count_3,average_egg_count
Mushroom broth plate with sugar fly age “3”,MS3,three,experimental,1,N,MS,MS3-1,4/14/2022,39,36,39,38.0
Apple juice plate with sugar control fly age “3”,AJS3,three,control,1,N,AJS,AJS3-1,4/14/2022,53,52,49,51.3
Mushroom broth and apple juice plate with sugar fly age “3”,MAS3,three,experimental,1,N,MAS,MAS3-1,4/14/2022,82,79,83,81.3
Mushroom broth plate with no sugar fly age “3”,MNS3,three,experimental,2,N,MNS,MNS3-2,4/22/2022,113,111,108,110.7
Mushroom broth and apple juice plate with sugar fly age “3”,MAS3,three,experimental,2,N,MAS,MAS3-2,4/22/2022,149,144,151,148.0
Apple juice plate with sugar and yeast control fly age “3”,AJSY3,three,control,2,Y,AJS,AJSY3-2,4/22/2022,95,91,92,92.7
Apple juice plate with sugar control fly age “3”,AJS3,three,control,2,N,AJS,AJS3-2,4/22/2022,118,109,109,112.0
Mushroom broth plate with sugar and yeast fly age “3”,MSY3,three,experimental,2,Y,MS,MSY3-2,4/21/2022,51,54,50,51.7
Apple juice plate with sugar and yeast control fly age “3”,AJSY3,three,control,3,Y,AJS,AJSY3-3,4/21/2022,40,44,45,43.0
Mushroom broth and apple juice plate with sugar and yeast fly age “3”,MASY3,three,experimental,1,Y,MAS,MASY3-1,4/21/2022,123,116,121,120.0
Mushroom broth plate with sugar fly age “3”,MS3,three,experimental,2,N,MS,MS3-2,4/21/2022,100,105,104,103.0
Mushroom broth and apple juice plate with sugar and yeast fly age “3”,MASY3,three,experimental,2,Y,MAS,MASY3-2,5/6/2022,70,73,73,72.0
Mushroom broth and apple juice plate with sugar and yeast fly age “3”,MASY3,three,experimental,3,Y,MAS,MASY3-3,5/6/2022,81,83,82,82.0
Mushroom broth and apple juice plate with sugar fly age “3”,MAS3,three,experimental,3,N,MAS,MAS3-3,5/6/2022,68,71,67,68.7
Mushroom broth plate with sugar and yeast fly age “3”,MSY3,three,experimental,3,Y,MS,MSY3-3,5/6/2022,111,110,114,111.7
Apple juice plate with sugar control fly age “3”,AJS3,three,control,3,N,AJS,AJS3-3,5/11/2022,93,87,88,89.3
Mushroom broth plate with no sugar and yeast fly age “3”,MNSY3,three,experimental,3,Y,MNS,MNSY3-3,5/19/2022,63,70,62,65.0
Mushroom broth plate with sugar fly age “3”,MS3,three,experimental,3,N,MS,MS3-3,5/11/2022,42,40,41,41.0
Mushroom broth plate with no sugar fly age “3”,MNS3,three,experimental,3,N,MNS,MNS3-3,5/11/2022,37,36,37,36.7
